NO_OUVRAGE,DATE,SURVERSE,sumMcTavish,maxMcTavish,sumBellevue,maxBellevue,sumAssomption,maxAssomption,sumTrudeau,maxTrudeau,sumStHubert,maxStHubert
4350-01D,2013-06-23,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-24,0,117,44,,49,600,259,63,19,142,50
4350-01D,2013-06-25,0,0,0,,102,10,10,40,40,2,1
4350-01D,2013-06-26,0,10,10,,38,40,40,0,0,11,6
4350-01D,2013-06-27,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-28,1,275,113,,204,250,104,171,74,201,75
4350-01D,2013-06-29,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-06-30,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-02,0,0,0,,0,20,20,0,0,2,2
4350-01D,2013-07-03,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-07-04,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-05,0,0,0,,10,0,0,15,15,0,0
4350-01D,2013-07-06,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-07,0,138,126,,55,0,0,69,43,86,78
4350-01D,2013-07-08,0,10,10,,9,0,0,15,7,6,6
4350-01D,2013-07-09,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-10,0,187,176,,3,80,60,21,8,126,110
4350-01D,2013-07-11,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-12,0,10,10,,0,0,0,0,0,6,6
4350-01D,2013-07-13,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-14,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-15,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-16,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-17,1,240,240,,86,20,20,220,210,151,149
4350-01D,2013-07-18,0,10,10,,0,0,0,23,20,6,6
4350-01D,2013-07-19,1,140,58,,275,210,78,209,74,113,38
4350-01D,2013-07-20,0,60,48,,66,30,20,52,47,40,30
4350-01D,2013-07-21,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-22,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-23,0,394,258,,27,100,100,107,67,257,161
4350-01D,2013-07-24,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-25,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-26,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-27,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-07-28,0,94,50,,206,120,70,110,48,72,35
4350-01D,2013-07-29,0,66,66,,46,0,0,28,28,41,41
4350-01D,2013-07-30,0,18,18,,0,0,0,0,0,11,11
4350-01D,2013-07-31,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-01,0,102,80,,118,160,140,72,69,83,66
4350-01D,2013-08-02,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-03,0,0,0,,189,270,156,5,5,33,18
4350-01D,2013-08-04,0,12,12,,0,21,11,0,0,9,7
4350-01D,2013-08-05,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-06,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-07,0,0,0,,24,0,0,0,0,0,0
4350-01D,2013-08-08,0,0,0,,0,200,175,0,0,23,20
4350-01D,2013-08-09,0,72,72,,47,0,0,61,61,45,45
4350-01D,2013-08-10,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-11,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-12,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-13,0,104,47,,121,280,139,109,67,98,32
4350-01D,2013-08-14,0,48,36,,16,20,10,31,16,32,22
4350-01D,2013-08-15,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-16,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-17,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-18,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-08-19,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-20,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-21,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-22,0,212,91,,142,90,30,67,20,144,59
4350-01D,2013-08-23,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-08-24,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-08-25,0,10,10,,0,20,20,4,4,8,8
4350-01D,2013-08-26,0,70,42,,74,20,10,37,26,46,28
4350-01D,2013-08-27,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-28,0,10,10,,0,0,0,42,42,6,6
4350-01D,2013-08-29,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-08-30,0,138,80,,109,120,40,176,103,99,54
4350-01D,2013-08-31,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-02,1,215,125,,75,190,93,196,96,155,78
4350-01D,2013-09-03,0,10,10,,0,0,0,0,0,6,6
4350-01D,2013-09-04,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-05,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-09-06,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-07,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-08,0,0,0,,0,0,0,3,3,0,0
4350-01D,2013-09-09,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-10,0,22,12,,21,10,10,21,8,14,7
4350-01D,2013-09-11,0,51,38,,98,80,32,53,53,42,24
4350-01D,2013-09-12,1,362,99,,371,100,30,320,78,237,62
4350-01D,2013-09-13,0,0,0,,38,0,0,30,25,0,0
4350-01D,2013-09-14,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-15,0,12,12,,6,0,0,3,3,8,8
4350-01D,2013-09-16,0,86,48,,81,60,30,108,70,60,31
4350-01D,2013-09-17,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-18,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-19,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-20,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-21,0,88,34,,55,160,50,83,25,73,25
4350-01D,2013-09-22,0,85,32,,60,50,20,73,38,59,20
4350-01D,2013-09-23,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-24,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-25,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-26,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-27,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-28,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-29,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-09-30,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-02,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-03,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-04,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-05,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-06,0,36,22,,42,50,30,53,26,28,16
4350-01D,2013-10-07,1,206,64,,107,140,50,128,50,144,43
4350-01D,2013-10-08,0,10,10,,0,0,0,0,0,6,6
4350-01D,2013-10-09,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-10-10,0,2082,2082,,0,0,0,0,0,1299,1299
4350-01D,2013-10-11,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-12,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-13,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-14,0,24,12,,21,70,50,28,15,23,9
4350-01D,2013-10-15,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-16,0,12,12,,25,0,0,7,7,8,8
4350-01D,2013-10-17,0,114,71,,78,80,70,113,53,79,52
4350-01D,2013-10-18,0,58,18,,34,42,30,45,27,42,15
4350-01D,2013-10-19,0,0,0,,14,0,0,16,16,0,0
4350-01D,2013-10-20,0,60,31,,26,68,20,46,28,44,21
4350-01D,2013-10-21,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-22,0,16,16,,16,40,30,13,5,14,13
4350-01D,2013-10-23,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-24,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-25,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-26,0,38,14,,36,30,10,25,7,27,10
4350-01D,2013-10-27,0,10,10,,6,20,20,3,3,8,6
4350-01D,2013-10-28,0,28,15,,11,10,10,15,6,18,9
4350-01D,2013-10-29,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-30,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-10-31,0,202,39,,185,160,40,183,33,145,29
4350-01D,2014-05-01,0,,,,,,,,,,
4350-01D,2014-05-02,0,0,0,,5,80,80,0,0,9,9
4350-01D,2014-05-03,0,14,14,,0,0,0,5,3,9,9
4350-01D,2014-05-04,0,211,36,,174,100,20,179,44,142,22
4350-01D,2014-05-05,0,11,11,,0,0,0,3,3,7,7
4350-01D,2014-05-06,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-07,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-08,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-09,0,22,22,,20,0,0,6,6,14,14
4350-01D,2014-05-10,0,68,32,,62,110,50,68,18,54,22
4350-01D,2014-05-11,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-12,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-13,0,0,0,,36,0,0,3,3,0,0
4350-01D,2014-05-14,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-15,0,0,0,,0,11,11,0,0,1,1
4350-01D,2014-05-16,0,152,22,,277,92,20,195,40,106,16
4350-01D,2014-05-17,1,300,90,,152,261,78,192,67,217,63
4350-01D,2014-05-18,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-19,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-20,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-21,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-22,0,44,32,,0,0,0,2,2,27,20
4350-01D,2014-05-23,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-24,0,0,0,,0,20,20,0,0,2,2
4350-01D,2014-05-25,0,22,22,,29,0,0,38,35,14,14
4350-01D,2014-05-26,0,72,37,,19,20,20,30,11,47,23
4350-01D,2014-05-27,0,86,44,,10,170,40,39,39,72,32
4350-01D,2014-05-28,0,10,10,,0,12,12,2,2,7,6
4350-01D,2014-05-29,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-05-30,0,7,7,,9,20,20,15,15,2,2
4350-01D,2014-05-31,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-02,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-03,0,228,77,,463,330,110,209,120,274,124
4350-01D,2014-06-04,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-05,0,1,1,,0,0,0,0,0,2,2
4350-01D,2014-06-06,0,4,4,,0,14,14,0,0,8,8
4350-01D,2014-06-07,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-08,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-09,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-10,0,0,0,,4,0,0,0,0,0,0
4350-01D,2014-06-11,0,16,5,,29,0,0,15,5,19,5
4350-01D,2014-06-12,0,249,48,,310,270,50,319,76,228,38
4350-01D,2014-06-13,1,269,49,,218,380,80,393,68,222,45
4350-01D,2014-06-14,0,63,27,,20,310,150,24,9,111,61
4350-01D,2014-06-15,0,0,0,,0,10,10,0,0,0,0
4350-01D,2014-06-16,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-17,0,118,96,,175,78,78,150,121,113,95
4350-01D,2014-06-18,1,138,77,,54,162,92,90,55,219,116
4350-01D,2014-06-19,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-20,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-21,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-22,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-23,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-24,0,380,142,,494,782,200,435,166,394,154
4350-01D,2014-06-25,0,28,28,,0,27,27,0,0,61,61
4350-01D,2014-06-26,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-27,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-28,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-29,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-06-30,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-02,0,0,0,,0,20,20,0,0,0,0
4350-01D,2014-07-03,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-04,0,19,16,,7,20,20,30,25,15,13
4350-01D,2014-07-05,0,13,13,,0,0,0,0,0,30,30
4350-01D,2014-07-06,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-07,0,77,27,,52,12,12,90,32,86,32
4350-01D,2014-07-08,0,41,31,,119,276,136,62,51,19,15
4350-01D,2014-07-09,0,2,2,,0,0,0,0,0,5,5
4350-01D,2014-07-10,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-11,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-12,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-13,0,102,48,,117,33,20,97,45,129,63
4350-01D,2014-07-14,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-15,0,15,7,,15,40,20,21,14,14,5
4350-01D,2014-07-16,0,1,1,,0,0,0,0,0,2,2
4350-01D,2014-07-17,0,0,0,,7,0,0,0,0,0,0
4350-01D,2014-07-18,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-19,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-20,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-21,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-22,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-23,0,81,27,,115,40,30,113,48,67,53
4350-01D,2014-07-24,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-25,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-07-26,0,4,4,,0,0,0,0,0,0,0
4350-01D,2014-07-27,1,152,52,,80,80,43,91,37,125,61
4350-01D,2014-07-28,0,132,32,,116,120,40,82,18,169,38
4350-01D,2014-07-29,0,2,2,,0,0,0,0,0,0,0
4350-01D,2014-07-30,0,12,8,,0,20,20,5,5,0,0
4350-01D,2014-07-31,0,146,52,,150,379,261,123,62,119,65
4350-01D,2014-08-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-02,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-03,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-04,0,6,4,,0,0,0,0,0,2,2
4350-01D,2014-08-05,0,14,14,,0,270,270,0,0,0,0
4350-01D,2014-08-06,0,6,4,,0,0,0,11,11,5,5
4350-01D,2014-08-07,0,10,4,,17,0,0,53,27,2,2
4350-01D,2014-08-08,0,0,0,,0,10,10,2,2,0,0
4350-01D,2014-08-09,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-10,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-11,0,0,0,,0,0,0,2,2,0,0
4350-01D,2014-08-12,0,12,6,,5,0,0,0,0,0,0
4350-01D,2014-08-13,1,618,132,,271,480,60,440,58,391,70
4350-01D,2014-08-14,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-15,0,48,16,,10,120,51,41,14,4,2
4350-01D,2014-08-16,0,182,62,,134,132,40,118,43,77,20
4350-01D,2014-08-17,0,12,8,,2,20,10,0,0,12,8
4350-01D,2014-08-18,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-19,0,0,0,,0,0,0,2,2,0,0
4350-01D,2014-08-20,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-21,0,0,0,,12,0,0,0,0,0,0
4350-01D,2014-08-22,0,0,0,,0,11,11,0,0,0,0
4350-01D,2014-08-23,0,0,0,,0,20,20,0,0,0,0
4350-01D,2014-08-24,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-25,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-26,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-27,0,2,2,,3,0,0,0,0,2,2
4350-01D,2014-08-28,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-29,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-30,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-08-31,0,108,84,,155,130,80,98,62,70,53
4350-01D,2014-09-01,0,0,0,,2,0,0,0,0,0,0
4350-01D,2014-09-02,0,46,20,,56,70,20,33,17,6,2
4350-01D,2014-09-03,0,2,2,,0,10,10,0,0,0,0
4350-01D,2014-09-04,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-05,0,36,12,,114,40,40,20,20,23,15
4350-01D,2014-09-06,0,112,50,,72,70,40,36,15,84,35
4350-01D,2014-09-07,0,0,0,,2,0,0,0,0,0,0
4350-01D,2014-09-08,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-09,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-10,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-11,0,70,34,,60,110,30,53,28,46,20
4350-01D,2014-09-12,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-13,0,176,60,,189,140,50,180,54,124,48
4350-01D,2014-09-14,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-15,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-16,0,8,4,,4,0,0,0,0,7,5
4350-01D,2014-09-17,0,4,2,,7,30,20,0,0,0,0
4350-01D,2014-09-18,0,10,6,,38,0,0,15,9,4,2
4350-01D,2014-09-19,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-20,0,0,0,,0,10,10,0,0,0,0
4350-01D,2014-09-21,0,20,12,,43,20,20,51,19,9,5
4350-01D,2014-09-22,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-23,0,8,8,,7,0,0,9,9,2,2
4350-01D,2014-09-24,0,0,0,,0,20,20,0,0,0,0
4350-01D,2014-09-25,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-26,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-27,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-28,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-29,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-09-30,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-02,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-03,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-04,0,284,36,,239,190,40,216,45,177,32
4350-01D,2014-10-05,0,4,2,,0,0,0,0,0,2,2
4350-01D,2014-10-06,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-07,0,54,20,,123,90,40,31,10,40,15
4350-01D,2014-10-08,1,316,118,,187,220,79,189,45,273,68
4350-01D,2014-10-09,0,8,6,,0,10,10,3,3,10,10
4350-01D,2014-10-10,0,0,0,,0,0,0,2,2,0,0
4350-01D,2014-10-11,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-12,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-13,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-14,0,0,0,,0,10,10,0,0,0,0
4350-01D,2014-10-15,0,38,18,,31,50,30,41,26,19,15
4350-01D,2014-10-16,0,86,22,,110,90,50,68,14,55,12
4350-01D,2014-10-17,0,2,2,,0,0,0,0,0,0,0
4350-01D,2014-10-18,0,20,10,,13,40,20,16,8,45,12
4350-01D,2014-10-19,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-20,0,4,4,,0,0,0,4,4,2,2
4350-01D,2014-10-21,0,34,6,,11,0,0,22,6,20,5
4350-01D,2014-10-22,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-23,0,76,26,,50,40,20,51,23,68,22
4350-01D,2014-10-24,0,6,4,,4,0,0,9,5,6,2
4350-01D,2014-10-25,0,50,28,,27,60,30,31,15,46,20
4350-01D,2014-10-26,0,2,2,,0,0,0,6,4,0,0
4350-01D,2014-10-27,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-28,0,30,14,,17,30,30,44,13,12,8
4350-01D,2014-10-29,0,12,8,,9,10,10,11,7,12,5
4350-01D,2014-10-30,0,0,0,,0,0,0,0,0,0,0
4350-01D,2014-10-31,0,0,0,,0,0,0,0,0,0,0
4350-01D,2015-05-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2015-05-02,0,0,0,,0,0,0,2,2,0,0
4350-01D,2015-05-03,0,0,0,,0,0,0,2,2,0,0
4350-01D,2015-05-04,0,18,10,,12,0,0,7,5,7,5
4350-01D,2015-05-05,0,2,2,,0,0,0,2,2,0,0
4350-01D,2015-05-06,0,0,0,,0,10,10,0,0,0,0
4350-01D,2015-05-07,0,0,0,,0,0,0,0,0,0,0
4350-01D,2015-05-08,0,0,0,,0,0,0,0,0,0,0
4350-01D,2015-05-09,0,50,24,,22,80,80,84,72,40,40
4350-01D,2015-05-10,0,2,2,,0,0,0,0,0,0,0
4350-01D,2015-05-11,0,208,46,,131,100,30,189,44,197,45
4350-01D,2015-05-12,0,88,30,,46,60,30,90,52,28,8
4350-01D,2015-05-13,0,2,2,,0,0,0,0,0,0,0
4350-01D,2015-05-14,0,0,0,,0,0,0,2,2,0,0
4350-01D,2015-05-15,0,0,0,,0,0,0,0,0,0,0
4350-01D,2015-05-16,0,0,0,,0,0,0,0,0,2,2
4350-01D,2015-05-17,0,0,0,,0,0,0,4,2,0,0
4350-01D,2015-05-18,0,318,140,,0,290,140,90,67,159,81
4350-01D,2015-05-19,0,0,0,,0,30,17,0,0,25,23
4350-01D,2015-05-20,0,0,0,,0,0,0,0,0,0,0
4350-01D,2015-05-21,0,0,0,,0,0,0,0,0,0,0
4350-01D,2015-05-22,0,2,2,,0,10,10,2,2,4,2
4350-01D,2015-05-23,0,0,0,,0,10,10,0,0,0,0
4350-01D,2015-05-24,0,0,0,,0,0,0,2,2,0,0
4350-01D,2015-05-25,0,200,56,,206,170,40,187,49,160,48
4350-01D,2015-05-26,0,52,26,,64,10,10,47,28,48,28
4350-01D,2015-05-27,0,0,0,,9,0,0,0,0,5,5
4350-01D,2015-05-28,0,82,44,,79,0,0,47,30,28,18
4350-01D,2015-05-29,0,0,0,,2,0,0,2,2,2,2
4350-01D,2015-05-30,0,38,28,,22,230,120,23,17,22,10
4350-01D,2015-05-31,0,22,6,,40,10,10,30,9,14,5
4350-01D,2015-06-01,0,24,12,,19,0,0,18,10,22,8
4350-01D,2015-06-02,0,48,8,,41,22,12,13,5,13,5
4350-01D,2015-06-03,0,0,0,,2,0,0,0,0,0,0
4350-01D,2015-06-04,0,0,0,,0,0,0,0,0,0,0
4350-01D,2015-06-05,0,98,62,,98,40,30,45,30,122,83
4350-01D,2015-06-06,0,2,2,,0,0,0,0,0,0,0
4350-01D,2015-06-07,0,0,0,,0,0,0,0,0,0,0
