McTavish,Bellevue,Assomption,Trudeau,StHubert,heure,date
0,0,0,0,0,1,2013-05-05
0,0,0,0,0,2,2013-05-05
0,0,0,0,0,3,2013-05-05
0,0,0,0,0,4,2013-05-05
0,0,0,0,0,5,2013-05-05
0,0,0,0,0,6,2013-05-05
0,0,0,0,0,7,2013-05-05
0,0,0,0,0,8,2013-05-05
0,0,0,0,0,9,2013-05-05
0,0,0,0,0,10,2013-05-05
0,0,0,0,0,11,2013-05-05
0,0,0,0,0,12,2013-05-05
0,0,0,0,0,13,2013-05-05
0,0,0,0,0,14,2013-05-05
0,0,0,0,0,15,2013-05-05
0,0,0,0,0,16,2013-05-05
0,0,0,0,0,17,2013-05-05
0,0,0,0,0,18,2013-05-05
0,0,0,0,0,19,2013-05-05
0,0,0,0,0,20,2013-05-05
0,0,0,0,0,21,2013-05-05
0,0,0,0,0,22,2013-05-05
0,0,0,0,0,23,2013-05-05
0,0,0,0,0,0,2013-05-06
0,0,0,0,0,1,2013-05-06
0,0,0,0,0,2,2013-05-06
0,0,0,0,0,3,2013-05-06
0,0,0,0,0,4,2013-05-06
0,0,0,0,0,5,2013-05-06
0,0,0,0,0,6,2013-05-06
0,0,0,0,0,7,2013-05-06
0,0,0,0,0,8,2013-05-06
0,0,0,0,0,9,2013-05-06
0,0,0,0,0,10,2013-05-06
0,0,0,0,0,11,2013-05-06
0,0,0,0,0,12,2013-05-06
0,0,0,0,0,13,2013-05-06
0,0,0,0,0,14,2013-05-06
0,0,0,0,0,15,2013-05-06
0,0,0,0,0,16,2013-05-06
0,0,0,0,0,17,2013-05-06
0,0,0,0,0,18,2013-05-06
0,0,0,0,0,19,2013-05-06
0,0,0,0,0,20,2013-05-06
0,0,0,0,0,21,2013-05-06
0,0,0,0,0,22,2013-05-06
0,0,0,0,0,23,2013-05-06
0,0,0,0,0,0,2013-05-07
0,0,0,0,0,1,2013-05-07
0,0,0,0,0,2,2013-05-07
0,0,0,0,0,3,2013-05-07
0,0,0,0,0,4,2013-05-07
0,0,0,0,0,5,2013-05-07
0,0,0,0,0,6,2013-05-07
0,0,0,0,0,7,2013-05-07
0,0,0,0,0,8,2013-05-07
0,0,0,0,0,9,2013-05-07
0,0,0,0,0,10,2013-05-07
0,0,0,0,0,11,2013-05-07
0,0,0,0,0,12,2013-05-07
0,0,0,0,0,13,2013-05-07
0,0,0,0,0,14,2013-05-07
0,0,0,0,0,15,2013-05-07
0,0,0,0,0,16,2013-05-07
0,0,0,0,0,17,2013-05-07
0,0,0,0,0,18,2013-05-07
0,0,0,0,0,19,2013-05-07
0,0,0,0,0,20,2013-05-07
0,0,0,0,0,21,2013-05-07
0,0,0,0,0,22,2013-05-07
0,0,0,0,0,23,2013-05-07
0,0,0,0,0,0,2013-05-08
0,0,0,0,0,1,2013-05-08
0,0,0,0,0,2,2013-05-08
0,0,0,0,0,3,2013-05-08
0,0,0,0,0,4,2013-05-08
0,0,0,0,0,5,2013-05-08
0,0,0,0,0,6,2013-05-08
0,0,0,0,0,7,2013-05-08
0,0,0,0,0,8,2013-05-08
0,0,0,0,0,9,2013-05-08
0,0,0,0,0,10,2013-05-08
0,0,0,0,0,11,2013-05-08
0,0,0,0,0,12,2013-05-08
0,0,0,0,0,13,2013-05-08
0,0,0,0,0,14,2013-05-08
0,0,0,0,0,15,2013-05-08
0,0,0,0,0,16,2013-05-08
0,0,0,0,0,17,2013-05-08
0,0,0,0,0,18,2013-05-08
0,0,0,0,0,19,2013-05-08
0,0,0,0,0,20,2013-05-08
0,0,0,0,0,21,2013-05-08
0,0,0,0,0,22,2013-05-08
0,0,0,0,0,23,2013-05-08
0,0,0,0,0,0,2013-05-09
0,0,0,0,0,1,2013-05-09
0,0,0,0,0,2,2013-05-09
0,0,0,0,0,3,2013-05-09
0,0,0,0,0,4,2013-05-09
0,0,0,0,0,5,2013-05-09
10,0,0,0,2,6,2013-05-09
0,0,0,0,0,7,2013-05-09
0,0,0,0,0,8,2013-05-09
0,0,0,0,0,9,2013-05-09
0,0,0,0,0,10,2013-05-09
0,0,0,0,0,11,2013-05-09
0,0,0,0,0,12,2013-05-09
0,0,19,0,5,13,2013-05-09
0,0,0,0,0,14,2013-05-09
0,0,0,0,0,15,2013-05-09
0,0,0,0,0,16,2013-05-09
0,0,0,0,0,17,2013-05-09
0,0,0,0,0,18,2013-05-09
0,0,0,0,0,19,2013-05-09
0,0,0,0,0,20,2013-05-09
0,0,0,0,0,21,2013-05-09
0,0,0,0,0,22,2013-05-09
0,0,0,0,0,23,2013-05-09
0,0,0,0,0,0,2013-05-10
0,0,0,0,0,1,2013-05-10
0,0,0,0,0,2,2013-05-10
0,0,0,0,0,3,2013-05-10
0,0,0,0,0,4,2013-05-10
0,0,0,0,0,5,2013-05-10
0,0,0,0,0,6,2013-05-10
0,0,0,0,0,7,2013-05-10
0,0,0,0,0,8,2013-05-10
0,0,0,0,0,9,2013-05-10
0,0,0,0,0,10,2013-05-10
0,0,0,0,0,11,2013-05-10
0,0,0,0,0,12,2013-05-10
0,0,0,0,0,13,2013-05-10
0,0,0,0,0,14,2013-05-10
0,0,0,0,0,15,2013-05-10
0,0,0,0,0,16,2013-05-10
0,0,0,0,0,17,2013-05-10
0,0,0,0,0,18,2013-05-10
0,0,0,0,0,19,2013-05-10
0,0,0,0,0,20,2013-05-10
0,0,0,0,0,21,2013-05-10
0,4,0,0,1,22,2013-05-10
0,0,20,0,5,23,2013-05-10
0,0,0,0,0,0,2013-05-11
0,0,0,0,0,1,2013-05-11
13,10,0,9,8,2,2013-05-11
39,25,40,36,35,3,2013-05-11
30,33,50,57,42,4,2013-05-11
12,21,60,17,28,5,2013-05-11
0,3,20,6,7,6,2013-05-11
0,0,0,0,0,7,2013-05-11
12,0,0,0,3,8,2013-05-11
0,0,0,0,0,9,2013-05-11
0,0,0,0,0,10,2013-05-11
0,13,0,13,6,11,2013-05-11
0,0,20,0,5,12,2013-05-11
0,0,0,0,0,13,2013-05-11
0,0,0,0,0,14,2013-05-11
0,0,0,0,0,15,2013-05-11
0,0,0,0,0,16,2013-05-11
0,0,0,0,0,17,2013-05-11
0,0,0,0,0,18,2013-05-11
0,0,0,0,0,19,2013-05-11
0,0,0,0,0,20,2013-05-11
0,0,0,0,0,21,2013-05-11
0,0,0,0,0,22,2013-05-11
0,0,0,0,0,23,2013-05-11
0,0,0,0,0,0,2013-05-12
0,0,0,0,0,1,2013-05-12
0,0,0,0,0,2,2013-05-12
0,0,0,0,0,3,2013-05-12
0,0,0,0,0,4,2013-05-12
0,0,0,0,0,5,2013-05-12
0,0,0,0,0,6,2013-05-12
0,0,0,0,0,7,2013-05-12
0,0,0,0,0,8,2013-05-12
0,0,0,0,0,9,2013-05-12
0,0,0,0,0,10,2013-05-12
0,0,0,0,0,11,2013-05-12
0,0,0,0,0,12,2013-05-12
0,0,10,0,2,13,2013-05-12
0,0,0,0,0,14,2013-05-12
0,0,0,0,0,15,2013-05-12
0,0,0,0,0,16,2013-05-12
0,0,0,0,0,17,2013-05-12
0,0,0,0,0,18,2013-05-12
0,0,0,0,0,19,2013-05-12
0,0,0,0,0,20,2013-05-12
0,0,0,0,0,21,2013-05-12
0,0,0,0,0,22,2013-05-12
0,0,0,0,0,23,2013-05-12
0,0,0,0,0,0,2013-05-13
0,0,0,0,0,1,2013-05-13
0,0,0,0,0,2,2013-05-13
0,0,0,0,0,3,2013-05-13
0,0,0,0,0,4,2013-05-13
0,0,0,0,0,5,2013-05-13
0,0,0,0,0,6,2013-05-13
0,0,0,0,0,7,2013-05-13
10,0,0,0,2,8,2013-05-13
0,0,0,0,0,9,2013-05-13
0,0,0,0,0,10,2013-05-13
0,0,0,0,0,11,2013-05-13
0,0,0,0,0,12,2013-05-13
0,0,0,0,0,13,2013-05-13
0,0,0,0,0,14,2013-05-13
0,0,0,0,0,15,2013-05-13
0,0,0,0,0,16,2013-05-13
0,0,0,0,0,17,2013-05-13
0,0,0,0,0,18,2013-05-13
0,0,0,0,0,19,2013-05-13
0,0,0,0,0,20,2013-05-13
0,0,0,0,0,21,2013-05-13
0,0,0,0,0,22,2013-05-13
0,0,0,0,0,23,2013-05-13
0,0,0,0,0,0,2013-05-14
0,0,0,0,0,1,2013-05-14
0,0,0,0,0,2,2013-05-14
0,0,0,0,0,3,2013-05-14
0,0,0,0,0,4,2013-05-14
0,0,0,0,0,5,2013-05-14
0,0,0,0,0,6,2013-05-14
0,0,0,0,0,7,2013-05-14
0,0,0,0,0,8,2013-05-14
0,0,0,0,0,9,2013-05-14
0,0,0,0,0,10,2013-05-14
0,0,0,0,0,11,2013-05-14
0,0,0,0,0,12,2013-05-14
0,0,0,0,0,13,2013-05-14
0,0,0,0,0,14,2013-05-14
0,0,0,0,0,15,2013-05-14
0,0,0,0,0,16,2013-05-14
0,0,0,0,0,17,2013-05-14
0,0,0,0,0,18,2013-05-14
0,0,0,0,0,19,2013-05-14
0,0,0,0,0,20,2013-05-14
0,0,0,0,0,21,2013-05-14
0,0,0,0,0,22,2013-05-14
0,0,0,0,0,23,2013-05-14
0,0,0,0,0,0,2013-05-15
0,0,0,0,0,1,2013-05-15
0,0,0,0,0,2,2013-05-15
0,0,0,0,0,3,2013-05-15
0,0,0,0,0,4,2013-05-15
0,0,0,0,0,5,2013-05-15
0,0,0,0,0,6,2013-05-15
0,0,0,0,0,7,2013-05-15
0,0,0,0,0,8,2013-05-15
0,0,0,0,0,9,2013-05-15
0,0,0,0,0,10,2013-05-15
0,0,0,0,0,11,2013-05-15
0,0,0,0,0,12,2013-05-15
0,0,0,0,0,13,2013-05-15
0,0,0,0,0,14,2013-05-15
12,0,0,0,3,15,2013-05-15
12,0,0,10,6,16,2013-05-15
16,0,10,0,6,17,2013-05-15
0,0,0,0,0,18,2013-05-15
0,0,0,0,0,19,2013-05-15
0,0,0,0,0,20,2013-05-15
0,0,0,0,0,21,2013-05-15
0,0,0,0,0,22,2013-05-15
0,0,0,0,0,23,2013-05-15
0,0,0,0,0,0,2013-05-16
0,0,0,0,0,1,2013-05-16
0,0,0,0,0,2,2013-05-16
0,0,0,0,0,3,2013-05-16
0,0,0,0,0,4,2013-05-16
0,0,0,0,0,5,2013-05-16
0,0,0,0,0,6,2013-05-16
0,0,0,0,0,7,2013-05-16
0,0,0,0,0,8,2013-05-16
0,0,0,0,0,9,2013-05-16
0,0,0,0,0,10,2013-05-16
0,0,0,0,0,11,2013-05-16
0,0,0,0,0,12,2013-05-16
0,0,0,0,0,13,2013-05-16
0,0,0,0,0,14,2013-05-16
0,0,0,0,0,15,2013-05-16
0,0,0,0,0,16,2013-05-16
0,0,0,0,0,17,2013-05-16
0,0,0,0,0,18,2013-05-16
0,0,0,0,0,19,2013-05-16
0,0,0,0,0,20,2013-05-16
0,0,0,0,0,21,2013-05-16
0,0,0,0,0,22,2013-05-16
0,0,0,0,0,23,2013-05-16
0,0,0,0,0,0,2013-05-17
0,0,0,0,0,1,2013-05-17
0,0,0,0,0,2,2013-05-17
0,0,0,0,0,3,2013-05-17
0,0,0,0,0,4,2013-05-17
0,0,0,0,0,5,2013-05-17
0,0,0,0,0,6,2013-05-17
0,0,0,0,0,7,2013-05-17
0,0,0,0,0,8,2013-05-17
0,0,0,0,0,9,2013-05-17
0,0,0,0,0,10,2013-05-17
0,0,0,0,0,11,2013-05-17
0,0,0,0,0,12,2013-05-17
0,0,0,0,0,13,2013-05-17
0,0,0,0,0,14,2013-05-17
0,0,0,0,0,15,2013-05-17
0,0,0,0,0,16,2013-05-17
0,0,0,0,0,17,2013-05-17
0,0,0,0,0,18,2013-05-17
0,0,0,0,0,19,2013-05-17
0,0,0,0,0,20,2013-05-17
0,0,0,0,0,21,2013-05-17
0,0,0,0,0,22,2013-05-17
0,0,0,0,0,23,2013-05-17
0,0,0,0,0,0,2013-05-18
0,0,0,0,0,1,2013-05-18
0,0,0,0,0,2,2013-05-18
0,0,0,0,0,3,2013-05-18
0,0,0,0,0,4,2013-05-18
0,0,0,0,0,5,2013-05-18
0,0,0,0,0,6,2013-05-18
0,0,0,0,0,7,2013-05-18
0,0,0,0,0,8,2013-05-18
0,0,0,0,0,9,2013-05-18
0,0,0,0,0,10,2013-05-18
0,0,0,0,0,11,2013-05-18
0,0,0,0,0,12,2013-05-18
0,0,0,0,0,13,2013-05-18
0,0,0,0,0,14,2013-05-18
0,0,0,0,0,15,2013-05-18
0,0,0,0,0,16,2013-05-18
0,0,0,0,0,17,2013-05-18
0,0,0,0,0,18,2013-05-18
0,0,0,0,0,19,2013-05-18
0,0,0,0,0,20,2013-05-18
0,0,0,0,0,21,2013-05-18
0,0,0,0,0,22,2013-05-18
0,0,0,0,0,23,2013-05-18
0,0,0,0,0,0,2013-05-19
0,0,0,0,0,1,2013-05-19
0,0,0,0,0,2,2013-05-19
0,0,0,0,0,3,2013-05-19
0,0,0,0,0,4,2013-05-19
0,0,0,0,0,5,2013-05-19
0,0,0,0,0,6,2013-05-19
0,0,0,0,0,7,2013-05-19
0,0,0,0,0,8,2013-05-19
0,0,0,0,0,9,2013-05-19
0,0,0,0,0,10,2013-05-19
0,0,0,0,0,11,2013-05-19
0,0,0,0,0,12,2013-05-19
0,0,0,0,0,13,2013-05-19
0,0,0,0,0,14,2013-05-19
0,0,0,0,0,15,2013-05-19
0,0,0,0,0,16,2013-05-19
0,0,0,4,1,17,2013-05-19
0,7,0,14,5,18,2013-05-19
0,0,0,0,0,19,2013-05-19
0,0,0,0,0,20,2013-05-19
0,11,0,11,6,21,2013-05-19
12,3,0,3,4,22,2013-05-19
0,0,0,0,0,23,2013-05-19
0,0,0,0,0,0,2013-05-20
0,0,20,3,6,1,2013-05-20
0,0,0,0,0,2,2013-05-20
0,4,50,0,14,3,2013-05-20
27,0,20,17,16,4,2013-05-20
25,0,0,8,8,5,2013-05-20
12,12,0,6,8,6,2013-05-20
0,3,0,4,2,7,2013-05-20
0,0,0,0,0,8,2013-05-20
0,0,0,0,0,9,2013-05-20
0,0,0,0,0,10,2013-05-20
0,0,0,0,0,11,2013-05-20
0,0,0,0,0,12,2013-05-20
0,0,0,0,0,13,2013-05-20
0,0,0,0,0,14,2013-05-20
0,0,0,0,0,15,2013-05-20
0,0,0,0,0,16,2013-05-20
0,0,0,0,0,17,2013-05-20
0,0,0,0,0,18,2013-05-20
0,0,0,0,0,19,2013-05-20
0,0,0,0,0,20,2013-05-20
0,0,0,0,0,21,2013-05-20
0,0,0,0,0,22,2013-05-20
0,0,0,0,0,23,2013-05-20
0,0,0,0,0,0,2013-05-21
0,0,0,0,0,1,2013-05-21
0,0,0,0,0,2,2013-05-21
0,0,0,0,0,3,2013-05-21
0,6,0,0,2,4,2013-05-21
0,0,0,0,0,5,2013-05-21
16,3,0,3,6,6,2013-05-21
0,3,30,4,9,7,2013-05-21
0,0,0,0,0,8,2013-05-21
0,0,0,0,0,9,2013-05-21
0,0,0,0,0,10,2013-05-21
0,0,0,0,0,11,2013-05-21
0,0,0,0,0,12,2013-05-21
0,0,0,0,0,13,2013-05-21
0,0,0,0,0,14,2013-05-21
0,0,0,0,0,15,2013-05-21
0,0,0,0,0,16,2013-05-21
0,0,0,0,0,17,2013-05-21
0,0,0,0,0,18,2013-05-21
14,28,0,21,16,19,2013-05-21
0,11,20,11,10,20,2013-05-21
10,0,0,0,2,21,2013-05-21
0,0,0,0,0,22,2013-05-21
0,0,0,0,0,23,2013-05-21
0,0,0,0,0,0,2013-05-22
0,0,0,0,0,1,2013-05-22
0,0,0,0,0,2,2013-05-22
0,0,0,0,0,3,2013-05-22
0,0,0,0,0,4,2013-05-22
0,0,0,0,0,5,2013-05-22
0,0,0,0,0,6,2013-05-22
0,0,0,0,0,7,2013-05-22
0,0,0,0,0,8,2013-05-22
0,0,0,0,0,9,2013-05-22
0,0,0,0,0,10,2013-05-22
0,0,0,0,0,11,2013-05-22
0,0,0,0,0,12,2013-05-22
0,0,0,0,0,13,2013-05-22
0,0,0,0,0,14,2013-05-22
0,0,0,0,0,15,2013-05-22
0,0,0,0,0,16,2013-05-22
0,0,0,0,0,17,2013-05-22
0,0,0,0,0,18,2013-05-22
26,0,0,0,6,19,2013-05-22
0,0,0,0,0,20,2013-05-22
0,0,0,0,0,21,2013-05-22
0,0,0,0,0,22,2013-05-22
0,0,0,0,0,23,2013-05-22
70,63,80,54,67,0,2013-05-23
18,0,50,4,18,1,2013-05-23
0,0,0,0,0,2,2013-05-23
0,0,0,0,0,3,2013-05-23
0,0,0,0,0,4,2013-05-23
0,0,30,0,8,5,2013-05-23
0,0,0,0,0,6,2013-05-23
0,0,0,0,0,7,2013-05-23
0,0,0,0,0,8,2013-05-23
0,0,0,0,0,9,2013-05-23
0,0,0,0,0,10,2013-05-23
0,0,0,0,0,11,2013-05-23
0,17,80,25,30,12,2013-05-23
144,3,0,13,40,13,2013-05-23
0,0,0,0,0,14,2013-05-23
0,0,0,0,0,15,2013-05-23
0,0,0,0,0,16,2013-05-23
0,0,0,0,0,17,2013-05-23
0,0,0,0,0,18,2013-05-23
0,0,0,0,0,19,2013-05-23
0,0,0,0,0,20,2013-05-23
0,0,0,0,0,21,2013-05-23
0,0,0,7,2,22,2013-05-23
0,9,0,5,4,23,2013-05-23
0,3,0,0,1,0,2013-05-24
0,5,0,5,2,1,2013-05-24
0,7,0,7,4,2,2013-05-24
16,6,20,8,12,3,2013-05-24
0,6,0,3,2,4,2013-05-24
0,0,0,5,1,5,2013-05-24
26,9,10,15,15,6,2013-05-24
0,12,0,5,4,7,2013-05-24
0,8,20,4,8,8,2013-05-24
0,0,0,4,1,9,2013-05-24
0,0,0,0,0,10,2013-05-24
0,0,0,0,0,11,2013-05-24
10,0,0,0,2,12,2013-05-24
0,7,0,0,2,13,2013-05-24
0,0,0,3,1,14,2013-05-24
0,0,0,0,0,15,2013-05-24
0,0,20,0,5,16,2013-05-24
0,0,0,0,0,17,2013-05-24
0,0,0,0,0,18,2013-05-24
0,0,0,0,0,19,2013-05-24
0,0,0,0,0,20,2013-05-24
0,0,0,0,0,21,2013-05-24
0,0,0,0,0,22,2013-05-24
0,0,0,0,0,23,2013-05-24
12,0,0,0,3,0,2013-05-25
0,0,0,0,0,1,2013-05-25
0,0,0,0,0,2,2013-05-25
0,0,0,0,0,3,2013-05-25
0,0,0,0,0,4,2013-05-25
0,0,0,0,0,5,2013-05-25
0,0,0,0,0,6,2013-05-25
10,0,0,0,2,7,2013-05-25
0,0,0,0,0,8,2013-05-25
0,3,0,0,1,9,2013-05-25
0,0,0,0,0,10,2013-05-25
0,0,0,0,0,11,2013-05-25
0,0,0,0,0,12,2013-05-25
12,0,0,9,5,13,2013-05-25
0,0,0,3,1,14,2013-05-25
16,0,0,7,6,15,2013-05-25
18,13,28,18,19,16,2013-05-25
0,8,0,7,4,17,2013-05-25
0,5,0,0,1,18,2013-05-25
0,0,0,0,0,19,2013-05-25
12,3,0,5,5,20,2013-05-25
0,3,20,6,7,21,2013-05-25
22,10,20,16,17,22,2013-05-25
14,11,30,8,16,23,2013-05-25
25,13,30,23,23,0,2013-05-26
16,20,30,23,22,1,2013-05-26
0,10,0,12,6,2,2013-05-26
0,17,0,9,6,3,2013-05-26
0,8,20,0,7,4,2013-05-26
16,12,15,24,17,5,2013-05-26
16,16,15,23,18,6,2013-05-26
0,16,0,11,7,7,2013-05-26
12,0,20,9,10,8,2013-05-26
0,9,11,9,7,9,2013-05-26
14,8,0,16,10,10,2013-05-26
0,0,0,0,0,11,2013-05-26
0,0,0,9,2,12,2013-05-26
17,3,0,4,6,13,2013-05-26
0,0,18,0,4,14,2013-05-26
0,0,0,0,0,15,2013-05-26
0,0,0,0,0,16,2013-05-26
0,0,0,0,0,17,2013-05-26
0,0,0,0,0,18,2013-05-26
0,0,0,0,0,19,2013-05-26
0,0,0,0,0,20,2013-05-26
0,0,0,0,0,21,2013-05-26
0,0,0,0,0,22,2013-05-26
0,0,0,0,0,23,2013-05-26
0,0,0,0,0,0,2013-05-27
0,0,0,0,0,1,2013-05-27
0,0,0,0,0,2,2013-05-27
0,0,0,0,0,3,2013-05-27
0,0,0,0,0,4,2013-05-27
0,0,0,0,0,5,2013-05-27
0,0,0,0,0,6,2013-05-27
0,0,0,0,0,7,2013-05-27
0,0,0,0,0,8,2013-05-27
0,0,0,0,0,9,2013-05-27
0,0,0,0,0,10,2013-05-27
0,0,0,0,0,11,2013-05-27
0,0,0,0,0,12,2013-05-27
0,0,0,0,0,13,2013-05-27
0,0,0,0,0,14,2013-05-27
0,0,0,0,0,15,2013-05-27
0,0,0,0,0,16,2013-05-27
0,0,0,0,0,17,2013-05-27
0,0,0,0,0,18,2013-05-27
0,0,0,0,0,19,2013-05-27
0,0,0,0,0,20,2013-05-27
0,0,0,0,0,21,2013-05-27
0,0,0,0,0,22,2013-05-27
0,0,0,0,0,23,2013-05-27
0,0,0,0,0,0,2013-05-28
0,0,0,0,0,1,2013-05-28
0,0,0,0,0,2,2013-05-28
0,0,0,0,0,3,2013-05-28
0,0,0,0,0,4,2013-05-28
0,0,0,0,0,5,2013-05-28
0,0,0,0,0,6,2013-05-28
0,0,0,0,0,7,2013-05-28
0,0,0,0,0,8,2013-05-28
0,0,0,0,0,9,2013-05-28
0,0,0,0,0,10,2013-05-28
0,0,0,0,0,11,2013-05-28
0,0,0,0,0,12,2013-05-28
0,0,0,0,0,13,2013-05-28
0,0,0,0,0,14,2013-05-28
0,0,0,0,0,15,2013-05-28
0,0,0,0,0,16,2013-05-28
0,0,0,0,0,17,2013-05-28
0,0,0,0,0,18,2013-05-28
0,0,0,0,0,19,2013-05-28
11,0,0,0,3,20,2013-05-28
0,0,0,0,0,21,2013-05-28
0,0,0,0,0,22,2013-05-28
0,0,0,0,0,23,2013-05-28
0,0,0,0,0,0,2013-05-29
0,0,0,0,0,1,2013-05-29
0,0,0,0,0,2,2013-05-29
0,0,0,0,0,3,2013-05-29
0,0,0,0,0,4,2013-05-29
0,0,0,0,0,5,2013-05-29
0,0,0,0,0,6,2013-05-29
0,0,0,0,0,7,2013-05-29
0,0,0,0,0,8,2013-05-29
0,4,0,0,1,9,2013-05-29
0,0,0,0,0,10,2013-05-29
0,18,0,0,4,11,2013-05-29
20,15,0,24,15,12,2013-05-29
0,0,0,3,1,13,2013-05-29
10,0,20,0,8,14,2013-05-29
0,0,0,0,0,15,2013-05-29
0,0,0,0,0,16,2013-05-29
13,43,30,67,38,17,2013-05-29
75,0,0,19,24,18,2013-05-29
0,0,0,24,6,19,2013-05-29
28,0,0,52,20,20,2013-05-29
0,0,0,0,0,21,2013-05-29
0,0,0,0,0,22,2013-05-29
0,0,0,0,0,23,2013-05-29
0,0,0,0,0,0,2013-05-30
0,0,0,0,0,1,2013-05-30
0,0,0,0,0,2,2013-05-30
0,0,0,0,0,3,2013-05-30
0,0,0,0,0,4,2013-05-30
0,0,0,0,0,5,2013-05-30
0,0,0,0,0,6,2013-05-30
0,0,0,0,0,7,2013-05-30
0,0,0,0,0,8,2013-05-30
0,0,0,0,0,9,2013-05-30
0,0,0,0,0,10,2013-05-30
0,0,0,0,0,11,2013-05-30
0,0,0,0,0,12,2013-05-30
0,0,0,0,0,13,2013-05-30
0,0,0,0,0,14,2013-05-30
0,0,0,0,0,15,2013-05-30
0,0,0,0,0,16,2013-05-30
0,0,0,0,0,17,2013-05-30
0,0,0,0,0,18,2013-05-30
0,0,0,0,0,19,2013-05-30
0,0,0,0,0,20,2013-05-30
0,0,0,0,0,21,2013-05-30
0,0,0,0,0,22,2013-05-30
0,0,0,0,0,23,2013-05-30
0,0,0,0,0,0,2013-05-31
0,0,0,0,0,1,2013-05-31
0,0,0,0,0,2,2013-05-31
0,0,0,0,0,3,2013-05-31
0,0,0,0,0,4,2013-05-31
0,0,0,0,0,5,2013-05-31
0,0,0,0,0,6,2013-05-31
0,0,0,0,0,7,2013-05-31
0,0,0,0,0,8,2013-05-31
0,0,0,0,0,9,2013-05-31
0,0,0,0,0,10,2013-05-31
0,0,0,0,0,11,2013-05-31
0,0,0,0,0,12,2013-05-31
