NO_OUVRAGE,date,SURVERSE
0801-06D,2013-05-08,0
0801-06D,2013-05-09,0
0801-06D,2013-05-10,0
0801-06D,2013-05-11,0
0801-06D,2013-05-12,0
0801-06D,2013-05-13,0
0801-06D,2013-05-14,0
0801-06D,2013-05-15,0
0801-06D,2013-05-16,0
0801-06D,2013-05-17,0
0801-06D,2013-05-18,0
0801-06D,2013-05-19,0
0801-06D,2013-05-20,0
0801-06D,2013-05-21,0
0801-06D,2013-05-22,0
0801-06D,2013-05-23,0
0801-06D,2013-05-24,0
0801-06D,2013-05-25,0
0801-06D,2013-05-26,0
0801-06D,2013-05-27,0
0801-06D,2013-05-28,0
0801-06D,2013-05-29,0
0801-06D,2013-05-30,0
0801-06D,2013-05-31,0
0801-07D,2013-05-01,0
0801-07D,2013-05-02,0
0801-07D,2013-05-03,0
0801-07D,2013-05-04,0
0801-07D,2013-05-05,0
0801-07D,2013-05-06,0
0801-07D,2013-05-07,0
0801-07D,2013-05-08,0
0801-07D,2013-05-09,0
0801-07D,2013-05-10,0
0801-07D,2013-05-11,0
0801-07D,2013-05-12,0
0801-07D,2013-05-13,0
0801-07D,2013-05-14,0
0801-07D,2013-05-15,0
0801-07D,2013-05-16,0
0801-07D,2013-05-17,0
0801-07D,2013-05-18,0
0801-07D,2013-05-19,0
0801-07D,2013-05-20,0
0801-07D,2013-05-21,0
0801-07D,2013-05-22,0
0801-07D,2013-05-23,0
0801-07D,2013-05-24,0
0801-07D,2013-05-25,0
0801-07D,2013-05-26,0
0801-07D,2013-05-27,0
0801-07D,2013-05-28,0
0801-07D,2013-05-29,0
0801-07D,2013-05-30,0
0801-07D,2013-05-31,0
0801-08D,2013-05-01,0
0801-08D,2013-05-02,0
0801-08D,2013-05-03,0
0801-08D,2013-05-04,0
0801-08D,2013-05-05,0
0801-08D,2013-05-06,0
0801-08D,2013-05-07,0
0801-08D,2013-05-08,0
0801-08D,2013-05-09,0
0801-08D,2013-05-10,0
0801-08D,2013-05-11,0
0801-08D,2013-05-12,0
0801-08D,2013-05-13,0
0801-08D,2013-05-14,0
0801-08D,2013-05-15,0
0801-08D,2013-05-16,0
0801-08D,2013-05-17,0
0801-08D,2013-05-18,0
0801-08D,2013-05-19,0
0801-08D,2013-05-20,0
0801-08D,2013-05-21,0
0801-08D,2013-05-22,0
0801-08D,2013-05-23,0
0801-08D,2013-05-24,0
0801-08D,2013-05-25,0
0801-08D,2013-05-26,0
0801-08D,2013-05-27,0
0801-08D,2013-05-28,0
0801-08D,2013-05-29,0
0801-08D,2013-05-30,0
0801-08D,2013-05-31,0
0801-09D,2013-05-01,0
0801-09D,2013-05-02,0
0801-09D,2013-05-03,0
0801-09D,2013-05-04,0
0801-09D,2013-05-05,0
0801-09D,2013-05-06,0
0801-09D,2013-05-07,0
0801-09D,2013-05-08,0
0801-09D,2013-05-09,0
0801-09D,2013-05-10,0
0801-09D,2013-05-11,0
0801-09D,2013-05-12,0
0801-09D,2013-05-13,0
0801-09D,2013-05-14,0
0801-09D,2013-05-15,0
0801-09D,2013-05-16,0
0801-09D,2013-05-17,0
0801-09D,2013-05-18,0
0801-09D,2013-05-19,0
0801-09D,2013-05-20,0
0801-09D,2013-05-21,0
0801-09D,2013-05-22,0
0801-09D,2013-05-23,1
0801-09D,2013-05-24,0
0801-09D,2013-05-25,0
0801-09D,2013-05-26,0
0801-09D,2013-05-27,0
0801-09D,2013-05-28,0
0801-09D,2013-05-29,1
0801-09D,2013-05-30,0
0801-09D,2013-05-31,0
3230-01D,2013-05-01,0
3230-01D,2013-05-02,0
3230-01D,2013-05-03,0
3230-01D,2013-05-04,0
3230-01D,2013-05-05,0
3230-01D,2013-05-06,0
3230-01D,2013-05-07,0
3230-01D,2013-05-08,0
3230-01D,2013-05-09,0
3230-01D,2013-05-10,0
3230-01D,2013-05-11,0
3230-01D,2013-05-12,0
3230-01D,2013-05-13,0
3230-01D,2013-05-14,0
3230-01D,2013-05-15,0
3230-01D,2013-05-16,0
3230-01D,2013-05-17,0
3230-01D,2013-05-18,0
3230-01D,2013-05-19,0
3230-01D,2013-05-20,0
3230-01D,2013-05-21,0
3230-01D,2013-05-22,0
3230-01D,2013-05-23,0
3230-01D,2013-05-24,0
3230-01D,2013-05-25,0
3230-01D,2013-05-26,0
3230-01D,2013-05-27,0
3230-01D,2013-05-28,0
3230-01D,2013-05-29,0
3230-01D,2013-05-30,0
3230-01D,2013-05-31,0
3240-02D,2013-05-01,0
3240-02D,2013-05-02,0
3240-02D,2013-05-03,0
3240-02D,2013-05-04,0
3240-02D,2013-05-05,0
3240-02D,2013-05-06,0
3240-02D,2013-05-07,0
3240-02D,2013-05-08,0
3240-02D,2013-05-09,0
3240-02D,2013-05-10,0
3240-02D,2013-05-11,0
3240-02D,2013-05-12,0
3240-02D,2013-05-13,0
3240-02D,2013-05-14,0
3240-02D,2013-05-15,0
3240-02D,2013-05-16,0
3240-02D,2013-05-17,0
3240-02D,2013-05-18,0
3240-02D,2013-05-19,0
3240-02D,2013-05-20,0
3240-02D,2013-05-21,0
3240-02D,2013-05-22,0
3240-02D,2013-05-23,0
3240-02D,2013-05-24,0
3240-02D,2013-05-25,0
3240-02D,2013-05-26,0
3240-02D,2013-05-27,0
3240-02D,2013-05-28,0
3240-02D,2013-05-29,0
3240-02D,2013-05-30,0
3240-02D,2013-05-31,0
3240-04D,2013-05-01,0
3240-04D,2013-05-02,0
3240-04D,2013-05-03,0
3240-04D,2013-05-04,0
3240-04D,2013-05-05,0
3240-04D,2013-05-06,0
3240-04D,2013-05-07,0
3240-04D,2013-05-08,0
3240-04D,2013-05-09,0
3240-04D,2013-05-10,0
3240-04D,2013-05-11,0
3240-04D,2013-05-12,0
3240-04D,2013-05-13,0
3240-04D,2013-05-14,0
3240-04D,2013-05-15,0
3240-04D,2013-05-16,0
3240-04D,2013-05-17,0
3240-04D,2013-05-18,0
3240-04D,2013-05-19,0
3240-04D,2013-05-20,0
3240-04D,2013-05-21,0
3240-04D,2013-05-22,0
3240-04D,2013-05-23,0
3240-04D,2013-05-24,0
3240-04D,2013-05-25,0
3240-04D,2013-05-26,0
3240-04D,2013-05-27,0
3240-04D,2013-05-28,0
3240-04D,2013-05-29,0
3240-04D,2013-05-30,0
3240-04D,2013-05-31,0
3240-05D,2013-05-01,0
3240-05D,2013-05-02,0
3240-05D,2013-05-03,0
3240-05D,2013-05-04,0
3240-05D,2013-05-05,0
3240-05D,2013-05-06,0
3240-05D,2013-05-07,0
3240-05D,2013-05-08,0
3240-05D,2013-05-09,0
3240-05D,2013-05-10,0
3240-05D,2013-05-11,0
3240-05D,2013-05-12,0
3240-05D,2013-05-13,0
3240-05D,2013-05-14,0
3240-05D,2013-05-15,0
3240-05D,2013-05-16,0
3240-05D,2013-05-17,0
3240-05D,2013-05-18,0
3240-05D,2013-05-19,0
3240-05D,2013-05-20,0
3240-05D,2013-05-21,0
3240-05D,2013-05-22,0
3240-05D,2013-05-23,0
3240-05D,2013-05-24,0
3240-05D,2013-05-25,0
3240-05D,2013-05-26,0
3240-05D,2013-05-27,0
3240-05D,2013-05-28,0
3240-05D,2013-05-29,0
3240-05D,2013-05-30,0
3240-05D,2013-05-31,0
3250-01D,2013-05-01,0
3250-01D,2013-05-02,0
3250-01D,2013-05-03,0
3250-01D,2013-05-04,0
3250-01D,2013-05-05,0
3250-01D,2013-05-06,0
3250-01D,2013-05-07,0
3250-01D,2013-05-08,0
3250-01D,2013-05-09,0
3250-01D,2013-05-10,0
3250-01D,2013-05-11,1
3250-01D,2013-05-12,0
3250-01D,2013-05-13,0
3250-01D,2013-05-14,0
3250-01D,2013-05-15,0
3250-01D,2013-05-16,0
3250-01D,2013-05-17,0
3250-01D,2013-05-18,0
3250-01D,2013-05-19,0
3250-01D,2013-05-20,0
3250-01D,2013-05-21,0
3250-01D,2013-05-22,0
3250-01D,2013-05-23,0
3250-01D,2013-05-24,0
3250-01D,2013-05-25,0
3250-01D,2013-05-26,0
3250-01D,2013-05-27,0
3250-01D,2013-05-28,0
3250-01D,2013-05-29,1
3250-01D,2013-05-30,0
3250-01D,2013-05-31,0
3250-02D,2013-05-01,0
3250-02D,2013-05-02,0
3250-02D,2013-05-03,0
3250-02D,2013-05-04,0
3250-02D,2013-05-05,0
3250-02D,2013-05-06,0
3250-02D,2013-05-07,0
3250-02D,2013-05-08,0
3250-02D,2013-05-09,0
3250-02D,2013-05-10,0
3250-02D,2013-05-11,0
3250-02D,2013-05-12,0
3250-02D,2013-05-13,0
3250-02D,2013-05-14,0
3250-02D,2013-05-15,0
3250-02D,2013-05-16,0
3250-02D,2013-05-17,0
3250-02D,2013-05-18,0
3250-02D,2013-05-19,0
3250-02D,2013-05-20,0
3250-02D,2013-05-21,0
3250-02D,2013-05-22,0
3250-02D,2013-05-23,0
3250-02D,2013-05-24,0
3250-02D,2013-05-25,0
3250-02D,2013-05-26,0
3250-02D,2013-05-27,0
3250-02D,2013-05-28,0
3250-02D,2013-05-29,0
3250-02D,2013-05-30,0
3250-02D,2013-05-31,0
3260-01D,2013-05-01,0
3260-01D,2013-05-02,0
3260-01D,2013-05-03,0
3260-01D,2013-05-04,0
3260-01D,2013-05-05,0
3260-01D,2013-05-06,0
3260-01D,2013-05-07,0
3260-01D,2013-05-08,0
3260-01D,2013-05-09,0
3260-01D,2013-05-10,0
3260-01D,2013-05-11,1
3260-01D,2013-05-12,0
3260-01D,2013-05-13,0
3260-01D,2013-05-14,0
3260-01D,2013-05-15,0
3260-01D,2013-05-16,0
3260-01D,2013-05-17,0
3260-01D,2013-05-18,0
3260-01D,2013-05-19,0
3260-01D,2013-05-20,0
3260-01D,2013-05-21,0
3260-01D,2013-05-22,0
3260-01D,2013-05-23,0
3260-01D,2013-05-24,0
3260-01D,2013-05-25,0
3260-01D,2013-05-26,0
3260-01D,2013-05-27,0
3260-01D,2013-05-28,0
3260-01D,2013-05-29,1
3260-01D,2013-05-30,0
3260-01D,2013-05-31,0
3270-01D,2013-05-01,0
3270-01D,2013-05-02,0
3270-01D,2013-05-03,0
3270-01D,2013-05-04,0
3270-01D,2013-05-05,0
3270-01D,2013-05-06,0
3270-01D,2013-05-07,0
3270-01D,2013-05-08,0
3270-01D,2013-05-09,0
3270-01D,2013-05-10,0
3270-01D,2013-05-11,1
3270-01D,2013-05-12,0
3270-01D,2013-05-13,0
3270-01D,2013-05-14,0
3270-01D,2013-05-15,0
3270-01D,2013-05-16,0
3270-01D,2013-05-17,0
3270-01D,2013-05-18,0
3270-01D,2013-05-19,0
3270-01D,2013-05-20,0
3270-01D,2013-05-21,0
3270-01D,2013-05-22,0
3270-01D,2013-05-23,0
3270-01D,2013-05-24,0
3270-01D,2013-05-25,0
3270-01D,2013-05-26,0
3270-01D,2013-05-27,0
3270-01D,2013-05-28,0
3270-01D,2013-05-29,1
3270-01D,2013-05-30,0
3270-01D,2013-05-31,0
3275-02D,2013-05-01,0
3275-02D,2013-05-02,0
3275-02D,2013-05-03,0
3275-02D,2013-05-04,0
3275-02D,2013-05-05,0
3275-02D,2013-05-06,0
3275-02D,2013-05-07,0
3275-02D,2013-05-08,0
3275-02D,2013-05-09,0
3275-02D,2013-05-10,0
3275-02D,2013-05-11,0
3275-02D,2013-05-12,0
3275-02D,2013-05-13,0
3275-02D,2013-05-14,0
3275-02D,2013-05-15,0
3275-02D,2013-05-16,0
3275-02D,2013-05-17,0
3275-02D,2013-05-18,0
3275-02D,2013-05-19,0
3275-02D,2013-05-20,0
3275-02D,2013-05-21,0
3275-02D,2013-05-22,0
3275-02D,2013-05-23,0
3275-02D,2013-05-24,0
3275-02D,2013-05-25,0
3275-02D,2013-05-26,0
3275-02D,2013-05-27,0
3275-02D,2013-05-28,0
3275-02D,2013-05-29,0
3275-02D,2013-05-30,0
3275-02D,2013-05-31,0
3280-01D,2013-05-01,0
3280-01D,2013-05-02,0
3280-01D,2013-05-03,0
3280-01D,2013-05-04,0
3280-01D,2013-05-05,0
3280-01D,2013-05-06,0
3280-01D,2013-05-07,0
3280-01D,2013-05-08,0
3280-01D,2013-05-09,0
3280-01D,2013-05-10,0
3280-01D,2013-05-11,1
3280-01D,2013-05-12,0
3280-01D,2013-05-13,0
3280-01D,2013-05-14,0
3280-01D,2013-05-15,0
3280-01D,2013-05-16,0
3280-01D,2013-05-17,0
3280-01D,2013-05-18,0
3280-01D,2013-05-19,0
3280-01D,2013-05-20,0
3280-01D,2013-05-21,0
3280-01D,2013-05-22,0
3280-01D,2013-05-23,0
3280-01D,2013-05-24,0
3280-01D,2013-05-25,0
3280-01D,2013-05-26,0
3280-01D,2013-05-27,0
3280-01D,2013-05-28,0
3280-01D,2013-05-29,0
3280-01D,2013-05-30,0
3280-01D,2013-05-31,0
3280-02D,2013-05-01,0
3280-02D,2013-05-02,0
3280-02D,2013-05-03,0
3280-02D,2013-05-04,0
3280-02D,2013-05-05,0
3280-02D,2013-05-06,0
3280-02D,2013-05-07,0
3280-02D,2013-05-08,0
3280-02D,2013-05-09,0
3280-02D,2013-05-10,0
3280-02D,2013-05-11,0
3280-02D,2013-05-12,0
3280-02D,2013-05-13,0
3280-02D,2013-05-14,0
3280-02D,2013-05-15,0
3280-02D,2013-05-16,0
3280-02D,2013-05-17,0
3280-02D,2013-05-18,0
3280-02D,2013-05-19,0
3280-02D,2013-05-20,0
3280-02D,2013-05-21,0
3280-02D,2013-05-22,0
3280-02D,2013-05-23,0
3280-02D,2013-05-24,0
3280-02D,2013-05-25,0
3280-02D,2013-05-26,0
3280-02D,2013-05-27,0
3280-02D,2013-05-28,0
3280-02D,2013-05-29,0
3280-02D,2013-05-30,0
3280-02D,2013-05-31,0
3290-01D,2013-05-01,0
3290-01D,2013-05-02,0
3290-01D,2013-05-03,0
3290-01D,2013-05-04,0
3290-01D,2013-05-05,0
3290-01D,2013-05-06,0
3290-01D,2013-05-07,0
3290-01D,2013-05-08,0
3290-01D,2013-05-09,0
3290-01D,2013-05-10,0
3290-01D,2013-05-11,1
3290-01D,2013-05-12,0
3290-01D,2013-05-13,0
3290-01D,2013-05-14,0
3290-01D,2013-05-15,0
3290-01D,2013-05-16,0
3290-01D,2013-05-17,0
3290-01D,2013-05-18,0
3290-01D,2013-05-19,0
3290-01D,2013-05-20,0
3290-01D,2013-05-21,0
3290-01D,2013-05-22,0
3290-01D,2013-05-23,0
3290-01D,2013-05-24,0
3290-01D,2013-05-25,0
3290-01D,2013-05-26,1
3290-01D,2013-05-27,0
3290-01D,2013-05-28,0
3290-01D,2013-05-29,1
3290-01D,2013-05-30,0
3290-01D,2013-05-31,0
3305-01D,2013-05-01,0
3305-01D,2013-05-02,0
3305-01D,2013-05-03,0
3305-01D,2013-05-04,0
3305-01D,2013-05-05,0
3305-01D,2013-05-06,0
3305-01D,2013-05-07,0
3305-01D,2013-05-08,0
3305-01D,2013-05-09,0
3305-01D,2013-05-10,0
3305-01D,2013-05-11,0
3305-01D,2013-05-12,0
3305-01D,2013-05-13,0
3305-01D,2013-05-14,0
3305-01D,2013-05-15,0
3305-01D,2013-05-16,0
3305-01D,2013-05-17,0
3305-01D,2013-05-18,0
3305-01D,2013-05-19,0
3305-01D,2013-05-20,0
3305-01D,2013-05-21,0
3305-01D,2013-05-22,0
3305-01D,2013-05-23,0
3305-01D,2013-05-24,0
3305-01D,2013-05-25,0
3305-01D,2013-05-26,0
3305-01D,2013-05-27,0
3305-01D,2013-05-28,0
3305-01D,2013-05-29,0
3305-01D,2013-05-30,0
3305-01D,2013-05-31,0
3305-02D,2013-05-01,0
3305-02D,2013-05-02,0
3305-02D,2013-05-03,0
3305-02D,2013-05-04,0
3305-02D,2013-05-05,0
3305-02D,2013-05-06,0
3305-02D,2013-05-07,0
3305-02D,2013-05-08,0
3305-02D,2013-05-09,0
3305-02D,2013-05-10,0
3305-02D,2013-05-11,0
3305-02D,2013-05-12,0
3305-02D,2013-05-13,0
3305-02D,2013-05-14,0
3305-02D,2013-05-15,0
3305-02D,2013-05-16,0
3305-02D,2013-05-17,0
3305-02D,2013-05-18,0
3305-02D,2013-05-19,0
3305-02D,2013-05-20,0
3305-02D,2013-05-21,0
3305-02D,2013-05-22,0
3305-02D,2013-05-23,0
3305-02D,2013-05-24,0
3305-02D,2013-05-25,0
3305-02D,2013-05-26,0
3305-02D,2013-05-27,0
3305-02D,2013-05-28,0
3305-02D,2013-05-29,0
3305-02D,2013-05-30,0
3305-02D,2013-05-31,0
3310-01D,2013-05-01,0
3310-01D,2013-05-02,0
3310-01D,2013-05-03,0
3310-01D,2013-05-04,0
3310-01D,2013-05-05,0
3310-01D,2013-05-06,0
3310-01D,2013-05-07,0
3310-01D,2013-05-08,0
3310-01D,2013-05-09,0
3310-01D,2013-05-10,0
3310-01D,2013-05-11,1
3310-01D,2013-05-12,0
3310-01D,2013-05-13,0
3310-01D,2013-05-14,0
3310-01D,2013-05-15,0
3310-01D,2013-05-16,0
3310-01D,2013-05-17,0
3310-01D,2013-05-18,0
3310-01D,2013-05-19,0
3310-01D,2013-05-20,0
3310-01D,2013-05-21,0
3310-01D,2013-05-22,0
3310-01D,2013-05-23,0
3310-01D,2013-05-24,0
3310-01D,2013-05-25,0
3310-01D,2013-05-26,0
3310-01D,2013-05-27,0
3310-01D,2013-05-28,0
3310-01D,2013-05-29,1
3310-01D,2013-05-30,0
3310-01D,2013-05-31,0
3320-01D,2013-05-01,0
3320-01D,2013-05-02,0
3320-01D,2013-05-03,0
3320-01D,2013-05-04,0
3320-01D,2013-05-05,0
3320-01D,2013-05-06,0
3320-01D,2013-05-07,0
3320-01D,2013-05-08,0
3320-01D,2013-05-09,0
3320-01D,2013-05-10,0
3320-01D,2013-05-11,0
3320-01D,2013-05-12,0
3320-01D,2013-05-13,0
3320-01D,2013-05-14,0
3320-01D,2013-05-15,0
3320-01D,2013-05-16,0
3320-01D,2013-05-17,0
3320-01D,2013-05-18,0
3320-01D,2013-05-19,0
3320-01D,2013-05-20,0
3320-01D,2013-05-21,0
3320-01D,2013-05-22,0
3320-01D,2013-05-23,0
3320-01D,2013-05-24,0
3320-01D,2013-05-25,0
3320-01D,2013-05-26,0
3320-01D,2013-05-27,0
3320-01D,2013-05-28,0
3320-01D,2013-05-29,0
3320-01D,2013-05-30,0
3320-01D,2013-05-31,0
3330-01D,2013-05-01,0
3330-01D,2013-05-02,0
3330-01D,2013-05-03,0
3330-01D,2013-05-04,0
3330-01D,2013-05-05,0
3330-01D,2013-05-06,0
3330-01D,2013-05-07,0
3330-01D,2013-05-08,0
3330-01D,2013-05-09,0
3330-01D,2013-05-10,0
3330-01D,2013-05-11,0
3330-01D,2013-05-12,0
3330-01D,2013-05-13,0
3330-01D,2013-05-14,0
3330-01D,2013-05-15,0
3330-01D,2013-05-16,0
3330-01D,2013-05-17,0
3330-01D,2013-05-18,0
3330-01D,2013-05-19,0
3330-01D,2013-05-20,0
3330-01D,2013-05-21,0
3330-01D,2013-05-22,0
3330-01D,2013-05-23,0
3330-01D,2013-05-24,0
3330-01D,2013-05-25,0
3330-01D,2013-05-26,0
3330-01D,2013-05-27,0
3330-01D,2013-05-28,0
3330-01D,2013-05-29,0
3330-01D,2013-05-30,0
3330-01D,2013-05-31,0
